date,value
2020-01-01,0.4967141530112327
2020-01-02,0.2591070212378015
2020-01-03,0.8549741550909337
2020-01-04,2.2070091804807723
2020-01-05,1.5314539696612819
2020-01-06,0.991026218779845
2020-01-07,2.3720337905312676
2020-01-08,2.665061761577923
2020-01-09,1.6625750233273864
2020-01-10,1.872620062247874
2020-01-11,1.0346783569858369
2020-01-12,0.3620129320184127
2020-01-13,0.5315726171807643
2020-01-14,-1.4880221509131863
2020-01-15,-2.915335553243582
2020-01-16,-2.8945559718358385
2020-01-17,-3.328475897803095
2020-01-18,-2.3485333856472024
2020-01-19,-2.7868507840389727
2020-01-20,-3.6417843285664695
2020-01-21,-1.4477786939316217
2020-01-22,-1.383999255631833
2020-01-23,-1.0396711998175427
2020-01-24,-2.256485146067491
2020-01-25,-2.3495708413791756
2020-01-26,-1.7687340833934746
2020-01-27,-2.5659808441370826
2020-01-28,-1.6770866569639944
2020-01-29,-1.9423080154900005
2020-01-30,-1.8455401621852774
2020-01-31,-2.078138741977619
2020-02-01,0.18976719092684258
2020-02-02,0.13831652800354016
2020-02-03,-0.9470577065530682
2020-02-04,0.06489874686073438
2020-02-05,-1.1689246524824348
2020-02-06,-0.7262761269811925
2020-02-07,-2.5406910254647297
2020-02-08,-3.3607388692702145
2020-02-09,-2.491729859547048
2020-02-10,-1.2549173076422282
2020-02-11,-0.8325655649238121
2020-02-12,-0.7817007343272903
2020-02-13,-0.9264642830511209
2020-02-14,-2.219693416808324
2020-02-15,-2.495598941841368
2020-02-16,-2.457117924432882
2020-02-17,-0.9085721133273901
2020-02-18,-0.38323940109345067
2020-02-19,-2.0696316762374947
2020-02-20,-1.3316213715952008
2020-02-21,-1.4503793776924772
2020-02-22,-1.8372255024599404
2020-02-23,-0.8581041131270845
2020-02-24,0.3445162319942834
2020-02-25,1.2068931047116254
2020-02-26,0.12629696054666184
2020-02-27,-0.2081748074138851
2020-02-28,0.16472358547245586
2020-02-29,1.1073239955003238
2020-03-01,0.40668495855496917
2020-03-02,0.13968899018015826
2020-03-03,-0.9945837818619016
2020-03-04,-1.991873649570192
2020-03-05,-0.7809730972619557
2020-03-06,0.7314615507612583
2020-03-07,0.5131591190286728
2020-03-08,1.4140601931149623
2020-03-09,1.4928841795396042
2020-03-10,0.5491875890265591
2020-03-11,0.8007456767296612
2020-03-12,2.178633107849698
2020-03-13,1.707080447169807
2020-03-14,2.930308013549852
2020-03-15,-0.27549869324986265
2020-03-16,0.6015035497753337
2020-03-17,0.5682499080584382
2020-03-18,0.15559257598088322
2020-03-19,0.21623483732020887
2020-03-20,-1.8145810447447257
2020-03-21,-1.6713367236332926
2020-03-22,-0.9799568073948877
2020-03-23,0.6939285988256059
2020-03-24,0.036872660786837375
2020-03-25,-0.7789954742637177
2020-03-26,-1.1249534229955107
2020-03-27,0.015439379305665524
2020-03-28,0.34110261310421686
2020-03-29,-0.25687811328366533
2020-03-30,0.30776494248642383
2020-03-31,0.34328950333717945
2020-04-01,1.2432765932026328
2020-04-02,0.292568180684754
2020-04-03,-0.09360760204996502
2020-04-04,-0.46699423477212965
2020-04-05,-1.8371103359498222
2020-04-06,-1.1735679916952817
2020-04-07,-0.6777991211763361
2020-04-08,-0.537125840298608
2020-04-09,-0.6642878056140333
