date,value
2020-01-01,-0.4088725849903344
2020-01-02,-0.9954907043445418
2020-01-03,-2.7748903963040297
2020-01-04,-5.787595292881751
2020-01-05,-7.870964704893831
2020-01-06,-9.273227187741654
2020-01-07,-7.873577206040726
2020-01-08,-7.928640456425729
2020-01-09,-10.12239360739578
2020-01-10,-11.574639460125727
2020-01-11,-11.535141224817897
2020-01-12,-11.297667941600618
2020-01-13,-13.868568321635559
2020-01-14,-15.9703189060683
2020-01-15,-17.591869000643978
2020-01-16,-19.367295672991126
2020-01-17,-22.956325201666456
2020-01-18,-27.01776132599849
2020-01-19,-29.548701410145597
2020-01-20,-29.53513283480268
2020-01-21,-29.316139112263443
2020-01-22,-30.07612126467276
2020-01-23,-31.12494005515491
2020-01-24,-33.17546355633687
2020-01-25,-36.56315237608194
2020-01-26,-39.837000028047925
2020-01-27,-41.761553376673746
2020-01-28,-42.83320946887363
2020-01-29,-44.855792608120964
2020-01-30,-47.277294809424674
2020-01-31,-49.54837233691647
2020-02-01,-52.7763429060609
2020-02-02,-55.78318489339721
2020-02-03,-58.988550175595535
2020-02-04,-63.135778738799395
2020-02-05,-66.97297882922511
2020-02-06,-69.42487226487938
2020-02-07,-71.68036047931335
2020-02-08,-72.23760690012708
2020-02-09,-71.90435408847094
2020-02-10,-71.08389283476242
2020-02-11,-69.63828435208366
2020-02-12,-67.32733716618925
2020-02-13,-64.32783903394018
2020-02-14,-61.488151981369015
2020-02-15,-58.81540292427544
2020-02-16,-55.75393219571981
2020-02-17,-52.29374218283797
2020-02-18,-49.18443197730228
2020-02-19,-47.02475950697477
2020-02-20,-46.484940305891996
2020-02-21,-46.38364059973777
2020-02-22,-45.432929927321446
2020-02-23,-43.74443875776538
2020-02-24,-42.6210064396287
2020-02-25,-41.36853684497808
2020-02-26,-41.68137192465974
2020-02-27,-43.66910340919225
2020-02-28,-45.6934984152036
2020-02-29,-47.41766585193324
2020-03-01,-49.76517162524975
2020-03-02,-50.83217232692931
2020-03-03,-50.77346944825478
2020-03-04,-50.80647193420723
2020-03-05,-52.25951618735568
2020-03-06,-53.47225800521405
2020-03-07,-53.931735172742385
2020-03-08,-54.1320686296712
2020-03-09,-53.34367863693315
2020-03-10,-51.016198447771174
2020-03-11,-48.12762150390644
2020-03-12,-45.473192201538836
2020-03-13,-41.90635575264118
2020-03-14,-37.86345081616494
2020-03-15,-34.094214863179715
2020-03-16,-30.55783357827394
2020-03-17,-27.90768300962857
2020-03-18,-27.25299384957346
2020-03-19,-26.02384496127613
2020-03-20,-22.83376835252557
2020-03-21,-18.88286954371233
2020-03-22,-16.65349310215608
2020-03-23,-14.233615060162935
2020-03-24,-12.870708803747101
2020-03-25,-13.203597040081343
2020-03-26,-14.5711409263838
2020-03-27,-15.530736586657696
2020-03-28,-17.595959076521368
2020-03-29,-20.253087402944754
2020-03-30,-22.646658768077202
2020-03-31,-25.09483781687293
2020-04-01,-27.65073193248313
2020-04-02,-30.109769541039135
2020-04-03,-33.835676021165185
2020-04-04,-38.040862068280475
2020-04-05,-41.34743423592775
2020-04-06,-44.06135087730688
2020-04-07,-46.77209271134904
2020-04-08,-50.82001286593891
2020-04-09,-56.180884430907795
2020-04-10,-61.86124245359812
2020-04-11,-68.2024188042341
2020-04-12,-73.99618503846872
2020-04-13,-78.43231754882206
2020-04-14,-81.42688893478532
2020-04-15,-83.47896653651638
2020-04-16,-84.64387977681939
2020-04-17,-86.93715361467315
2020-04-18,-91.43180918560991
2020-04-19,-95.32822841204147
2020-04-20,-96.58442100856108
2020-04-21,-96.72528870722272
2020-04-22,-97.36749906578241
2020-04-23,-98.18312965279243
2020-04-24,-99.71120506292168
2020-04-25,-100.92010684630755
2020-04-26,-100.66213269374401
2020-04-27,-99.70600455907497
2020-04-28,-99.17329994535075
2020-04-29,-99.49537749116989
2020-04-30,-99.50143004567767
2020-05-01,-99.43756580109694
2020-05-02,-100.25660092301159
2020-05-03,-101.25384936831
2020-05-04,-101.8802407412318
2020-05-05,-101.31020541786953
2020-05-06,-99.62667217422813
2020-05-07,-97.58209367567294
2020-05-08,-95.17236430747425
2020-05-09,-92.56896902492785
2020-05-10,-90.35027976899323
2020-05-11,-89.35714655153744
2020-05-12,-88.90926786465995
2020-05-13,-89.18798684572292
2020-05-14,-91.53647096547617
2020-05-15,-93.7180276677888
2020-05-16,-95.00700932467521
2020-05-17,-95.21164570446784
2020-05-18,-94.60283384249573
2020-05-19,-94.92371464469656
2020-05-20,-97.0668728282307
2020-05-21,-99.54069883927222
2020-05-22,-102.05725415135228
2020-05-23,-104.47616805262152
2020-05-24,-105.84486517689233
2020-05-25,-105.94846053013329
2020-05-26,-104.90501890838438
2020-05-27,-103.3395087577977
2020-05-28,-101.57973597126998
2020-05-29,-99.01297863542338
2020-05-30,-94.91283332083492
2020-05-31,-89.29642123807477
2020-06-01,-84.19137350790174
2020-06-02,-79.8681379659629
2020-06-03,-76.43243130675057
2020-06-04,-74.04061160763844
2020-06-05,-72.65283975671453
2020-06-06,-71.88596224667208
2020-06-07,-72.6160832997352
2020-06-08,-74.62351514228747
2020-06-09,-76.79296840230414
2020-06-10,-78.8100692563428
2020-06-11,-80.8504189171733
2020-06-12,-82.31634438840676
